2023-07-06 19:14:52.165 +05 [7864] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2023-07-06 15:39:03 +05
2023-07-06 19:14:52.851 +05 [7864] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2023-07-06 19:14:52.857 +05 [7864] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/210BAB60
2023-07-06 19:14:52.858 +05 [7864] СООБЩЕНИЕ:  неверная длина записи по смещению 0/210BAC48: ожидалось 24, получено 0
2023-07-06 19:14:52.858 +05 [7864] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/210BAC10, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2023-07-06 19:14:52.866 +05 [7844] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2023-07-06 19:14:52.875 +05 [7844] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.002 сек., всего=0.011 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB
2023-07-06 20:02:30.939 +05 [8444] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-06 20:07:42.575 +05 [11452] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-06 20:09:50.057 +05 [12444] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-06 20:14:52.948 +05 [7844] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-06 20:14:53.071 +05 [7844] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.108 сек., синхр.=0.005 сек., всего=0.124 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.004 сек., средняя=0.003 сек.; расстояние=8 kB, ожидалось=8 kB
2023-07-06 20:18:09.532 +05 [10796] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-06 20:19:16.972 +05 [11720] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-06 20:25:16.290 +05 [3056] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
