2023-07-28 14:48:09.046 +05 [7616] СООБЩЕНИЕ:  система БД была выключена: 2023-07-28 14:47:44 +05
2023-07-28 14:53:09.104 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-28 14:53:09.233 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.115 сек., синхр.=0.005 сек., всего=0.133 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB
2023-07-31 08:41:05.543 +05 [14416] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-31 09:12:31.264 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-31 09:12:31.716 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.438 сек., синхр.=0.005 сек., всего=0.452 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.004 сек., средняя=0.003 сек.; расстояние=15 kB, ожидалось=15 kB
2023-07-31 09:17:28.996 +05 [6552] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-31 09:19:20.162 +05 [13212] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-31 09:19:33.870 +05 [2032] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-31 09:35:38.753 +05 [3956] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-31 09:39:07.033 +05 [9408] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
