2023-08-07 14:42:35.006 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-07 14:42:44.392 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 87 (0.5%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=9.366 сек., синхр.=0.011 сек., всего=9.387 сек.; синхронизировано_файлов=12, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=720 kB, ожидалось=9933 kB
2023-08-07 14:47:35.397 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-07 14:47:47.708 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 114 (0.7%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=12.288 сек., синхр.=0.015 сек., всего=12.312 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=1828 kB, ожидалось=9123 kB
2023-08-07 16:24:15.424 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-07 16:24:16.085 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.645 сек., синхр.=0.007 сек., всего=0.662 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=32 kB, ожидалось=8214 kB
2023-08-07 16:29:15.086 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-07 16:29:17.154 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 20 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.051 сек., синхр.=0.011 сек., всего=2.069 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=671 kB, ожидалось=7459 kB
2023-08-07 16:42:04.971 +05 [17824] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-07 16:42:04.971 +05 [8412] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-07 16:42:04.972 +05 [1672] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
